iter	MultiClass
0	2.138852459
1	2.092212918
2	2.048893959
3	2.006969723
4	1.969499907
5	1.932590506
6	1.891769454
7	1.860315523
8	1.831005029
9	1.800799835
10	1.767721504
11	1.742673987
12	1.717292991
13	1.691713344
14	1.666060793
15	1.640266083
16	1.614650834
17	1.595845894
18	1.574857477
19	1.55562567
20	1.535100248
21	1.51580571
22	1.500787464
23	1.483554278
24	1.464679207
25	1.447893537
26	1.433287991
27	1.419341938
28	1.404683019
29	1.391028114
30	1.379309567
31	1.36740071
32	1.352141092
33	1.338768547
34	1.324452877
35	1.313446646
36	1.302843885
37	1.291273758
38	1.281656547
39	1.270454978
40	1.260366437
41	1.249093817
42	1.240106987
43	1.231236008
44	1.222617446
45	1.212244029
46	1.202455388
47	1.194819607
48	1.18700083
49	1.17750327
50	1.169985242
51	1.161089797
52	1.154347505
53	1.145900406
54	1.138160507
55	1.130914257
56	1.123737186
57	1.116484598
58	1.110250561
59	1.103033479
60	1.096331262
61	1.089972912
62	1.083344619
63	1.078384063
64	1.072763436
65	1.066635746
66	1.061511332
67	1.055961493
68	1.049896314
69	1.044607663
70	1.038717228
71	1.034110036
72	1.028892423
73	1.024198373
74	1.019550787
75	1.015033531
76	1.010050885
77	1.005760973
78	1.001460729
79	0.997334245
80	0.993280927
81	0.9883519642
82	0.9846040838
83	0.9803659961
84	0.9761875504
85	0.972326575
86	0.9694081741
87	0.9653297398
88	0.9613631188
89	0.9573776652
90	0.9533316472
91	0.9499921602
92	0.9469200391
93	0.9432422053
94	0.9404950249
95	0.9366493283
96	0.9338736681
97	0.931548405
98	0.9284438506
99	0.9253025494
100	0.9221511061
101	0.918810449
102	0.9166776646
103	0.9134736155
104	0.9109420575
105	0.9085403497
106	0.9065467287
107	0.9040128613
108	0.901941657
109	0.8996059296
110	0.8969065743
111	0.8942968424
112	0.8915560976
113	0.888775093
114	0.8870170592
115	0.8848482937
116	0.8820847497
117	0.8794538368
118	0.8770205282
119	0.8757938623
120	0.8734925576
121	0.8710310217
122	0.86923022
123	0.8683256043
124	0.8659746708
125	0.8634502603
126	0.8612803772
127	0.859008968
128	0.8583223154
129	0.8560762178
130	0.8542019006
131	0.8529782307
132	0.8509395172
133	0.8500323409
134	0.848334195
135	0.8468105763
136	0.844885638
137	0.8427028915
138	0.8416638312
139	0.8405085996
140	0.8391413397
141	0.8370935794
142	0.8352980587
143	0.8336910371
144	0.8324518461
145	0.8301142438
146	0.8287509087
147	0.8276596242
148	0.8256601567
149	0.8242806657
150	0.822286137
151	0.8206948358
152	0.81975204
153	0.8187152262
154	0.8174342248
155	0.8166600336
156	0.8159170967
157	0.815274001
158	0.813747121
159	0.8120995199
160	0.8111736724
161	0.8099317536
162	0.8091411374
163	0.8086043108
164	0.8076423557
165	0.8072250788
166	0.8056595582
167	0.8042767743
168	0.8028464848
169	0.8016193337
170	0.8002412931
171	0.7996143119
172	0.7983869517
173	0.7972935336
174	0.7961034107
175	0.7957949748
176	0.7953710017
177	0.7947200081
178	0.7930290489
179	0.7923152857
180	0.79176881
181	0.7907194216
182	0.7894298291
183	0.7882421731
184	0.7873850368
185	0.7866083653
186	0.7861233658
187	0.7848469949
188	0.7839315524
189	0.7832754557
190	0.7828496485
191	0.7817769473
192	0.7806168383
193	0.7799227749
194	0.7786233924
195	0.7776579901
196	0.7764469222
197	0.7758770766
198	0.7749629481
199	0.7743695008
200	0.7742447805
201	0.7731011803
202	0.7717620782
203	0.7712261047
204	0.7702289897
205	0.7701584421
206	0.7695017996
207	0.7686882045
208	0.7675738222
209	0.7672256661
210	0.7666936188
211	0.7659730237
212	0.7654197338
213	0.7652269578
214	0.7647400543
215	0.7640344284
216	0.763567867
217	0.7621490842
218	0.7615109827
219	0.7608238676
220	0.7596949626
221	0.7589044158
222	0.7582014057
223	0.7571101877
224	0.7566244396
225	0.7559779484
226	0.7551557783
227	0.7548225635
228	0.7542829128
229	0.7537224651
230	0.7531786856
231	0.7519492153
232	0.751564277
233	0.7509074374
234	0.750257495
235	0.749616166
236	0.74911764
237	0.7487304564
238	0.748260499
239	0.7477170416
240	0.7467107911
241	0.7460058567
242	0.7454955175
243	0.7450390411
244	0.7445801425
245	0.7442271283
246	0.7435246915
247	0.7434012
248	0.7431623945
249	0.7426090584
250	0.7420389737
251	0.7411657446
252	0.7404180404
253	0.739304892
254	0.7387019578
255	0.7382914893
256	0.7377078977
257	0.7373419276
258	0.7370692941
259	0.7365664748
260	0.7356949139
261	0.7353031884
262	0.7345231205
263	0.7335338889
264	0.7330648007
265	0.7329519637
266	0.7324533768
267	0.732115497
268	0.7317204331
269	0.7309013395
270	0.7304783916
271	0.7301830375
272	0.7299170652
273	0.7295883971
274	0.7285954572
275	0.7280550585
276	0.7273592614
277	0.7270290884
278	0.7268080396
279	0.7263484768
280	0.7259906548
281	0.7254908088
282	0.7251486327
283	0.7246757741
284	0.7239168374
285	0.7234170588
286	0.7231327633
287	0.7226995937
288	0.7224341372
289	0.7216800658
290	0.721333374
291	0.7208440349
292	0.7202020183
293	0.7197693598
294	0.7190431241
295	0.7182524152
296	0.7178761298
297	0.7174080669
298	0.7169837182
299	0.7167365306
300	0.7165355972
301	0.7159903089
302	0.7155902799
303	0.7150762004
304	0.7144553558
305	0.7141760043
306	0.7138187123
307	0.7135177489
308	0.7130611087
309	0.7127374447
310	0.7124708182
311	0.711959072
312	0.7115995089
313	0.7113029257
314	0.7110046415
