iter	Passed	Remaining
0	2	2199
1	3	1873
2	5	1822
3	7	1828
4	9	1810
5	10	1778
6	12	1768
7	14	1759
8	15	1735
9	17	1713
10	19	1708
11	20	1721
12	22	1702
13	24	1691
14	25	1689
15	27	1684
16	29	1683
17	30	1682
18	32	1684
19	34	1686
20	36	1686
21	37	1689
22	39	1685
23	41	1683
24	43	1692
25	45	1697
26	47	1698
27	48	1700
28	50	1699
29	52	1707
30	54	1715
31	56	1714
32	58	1714
33	60	1725
34	62	1727
35	64	1723
36	66	1723
37	68	1723
38	69	1719
39	71	1718
40	73	1714
41	75	1714
42	76	1708
43	78	1706
44	80	1702
45	81	1699
46	83	1697
47	85	1697
48	87	1692
49	89	1692
50	91	1698
51	93	1701
52	95	1701
53	97	1703
54	99	1703
55	100	1701
56	102	1697
57	104	1695
58	106	1692
59	107	1690
60	109	1688
61	111	1685
62	113	1684
63	115	1681
64	116	1680
65	118	1680
66	120	1678
67	122	1676
68	124	1678
69	126	1676
70	128	1675
71	129	1673
72	131	1672
73	133	1670
74	135	1669
75	137	1666
76	138	1663
77	140	1661
78	142	1659
79	144	1656
80	145	1654
81	147	1650
82	148	1646
83	150	1642
84	152	1640
85	154	1637
86	155	1634
87	157	1632
88	159	1630
89	160	1627
90	162	1624
91	164	1621
92	166	1619
93	167	1616
94	169	1613
95	171	1612
96	172	1609
97	174	1605
98	176	1603
99	177	1599
100	179	1595
101	181	1594
102	182	1591
103	184	1589
104	186	1586
105	187	1583
106	189	1580
107	191	1578
108	192	1574
109	194	1571
110	195	1569
111	197	1566
112	199	1564
113	200	1562
114	202	1559
115	204	1557
116	205	1554
117	207	1552
118	209	1550
119	210	1546
120	212	1544
121	214	1541
122	216	1540
123	217	1538
124	219	1536
125	221	1535
126	223	1533
127	224	1530
128	226	1527
129	227	1525
130	229	1523
131	231	1521
132	233	1520
133	234	1517
134	236	1515
135	238	1512
136	239	1510
137	241	1508
138	243	1505
139	244	1503
140	246	1501
141	248	1500
142	249	1497
143	251	1496
144	253	1494
145	255	1492
146	257	1495
147	259	1494
148	261	1493
149	263	1492
150	265	1490
151	266	1488
152	268	1485
153	269	1483
154	271	1481
155	273	1479
156	275	1477
157	276	1474
158	278	1473
159	280	1472
160	282	1470
161	283	1468
162	285	1466
163	287	1464
164	289	1463
165	290	1461
166	292	1458
167	294	1456
168	295	1454
169	297	1452
170	299	1450
171	300	1448
172	302	1446
173	304	1444
174	305	1441
175	307	1438
176	308	1436
177	310	1434
178	312	1432
179	313	1430
180	315	1428
181	317	1426
182	319	1424
183	320	1422
184	322	1419
185	323	1417
186	325	1415
187	327	1413
188	328	1410
189	330	1408
190	332	1406
191	333	1404
192	335	1402
193	337	1400
194	338	1398
195	340	1396
196	342	1394
197	343	1392
198	345	1389
199	347	1388
200	348	1385
201	350	1383
202	351	1381
203	353	1379
204	355	1378
205	356	1375
206	358	1373
207	360	1371
208	361	1369
209	363	1368
210	365	1366
211	367	1365
212	369	1363
213	370	1361
214	372	1360
215	374	1357
216	375	1355
217	377	1353
218	378	1351
219	380	1348
220	382	1346
221	383	1344
222	385	1343
223	387	1341
224	388	1339
225	390	1338
226	392	1336
227	394	1334
228	395	1332
229	397	1330
230	399	1328
231	400	1327
232	402	1325
233	404	1323
234	405	1321
235	407	1319
236	409	1317
237	410	1314
238	412	1313
239	414	1311
240	415	1309
241	417	1307
242	419	1305
243	420	1303
244	422	1301
245	424	1299
246	425	1297
247	427	1295
248	428	1292
249	430	1291
250	431	1289
251	433	1287
252	435	1285
253	436	1283
254	438	1281
255	440	1278
256	441	1276
257	443	1274
258	444	1273
259	446	1271
260	448	1269
261	450	1268
262	451	1266
263	453	1264
264	455	1263
265	456	1260
266	458	1258
267	460	1256
268	461	1254
269	463	1252
270	465	1251
271	466	1249
272	468	1247
273	470	1245
274	471	1243
275	473	1241
276	474	1239
277	476	1237
278	478	1235
279	479	1233
280	481	1233
281	483	1231
282	485	1229
283	486	1227
284	488	1225
285	489	1223
286	491	1221
287	493	1219
288	494	1217
289	496	1215
290	498	1213
291	499	1211
292	501	1210
293	503	1208
294	504	1206
295	506	1204
296	507	1202
297	509	1200
298	511	1198
299	512	1195
300	514	1193
301	515	1192
302	517	1189
303	518	1187
304	520	1185
305	522	1184
306	523	1181
307	525	1180
308	526	1178
309	528	1175
310	529	1174
311	531	1172
312	533	1170
313	534	1168
314	536	1166
315	537	1164
316	539	1162
317	541	1160
318	542	1158
319	545	1158
320	546	1156
321	548	1154
322	549	1152
323	551	1150
324	553	1148
325	554	1146
326	556	1145
327	557	1143
328	559	1141
329	561	1139
330	562	1137
331	564	1135
332	566	1133
333	567	1132
334	569	1130
335	571	1129
336	572	1127
337	574	1125
338	576	1123
339	577	1121
